Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,7145.1591796875,7836.10205078125,6974.17431640625,7321.98828125,7321.98828125,136841674484
2019-12-03,7323.9755859375,7743.431640625,7170.9228515625,7400.8994140625,7400.8994140625,122117728147
2019-12-10,7397.13427734375,7424.02294921875,6903.6826171875,6932.48046875,6932.48046875,124883764532
2019-12-17,6931.3154296875,7656.17626953125,6540.04931640625,7355.62841796875,7355.62841796875,173017624756
2019-12-24,7354.39306640625,7535.716796875,7189.93408203125,7292.9951171875,7292.9951171875,156800560684
2019-12-31,7294.43896484375,7781.8671875,6914.99609375,7769.21923828125,7769.21923828125,150092782574
2020-01-07,7768.68212890625,8396.73828125,7726.77490234375,8144.1943359375,8144.1943359375,184107939056
2020-01-14,8140.93310546875,9164.3623046875,8140.93310546875,8657.642578125,8657.642578125,245608208784
2020-01-21,8658.9912109375,8977.7265625,8266.8408203125,8909.8193359375,8909.8193359375,167338565106
2020-01-28,8912.5244140625,9553.1259765625,8908.447265625,9293.521484375,9293.521484375,214585115039
2020-02-04,9292.841796875,10165.765625,9112.8115234375,9856.611328125,9856.611328125,247633262965
2020-02-11,9855.8916015625,10457.626953125,9507.6376953125,9690.142578125,9690.142578125,307024832303
2020-02-18,9691.23046875,10191.67578125,9507.900390625,9650.1748046875,9650.1748046875,302222558976
2020-02-25,9651.3125,9652.7373046875,8471.212890625,8869.669921875,8869.669921875,297010187282
2020-03-03,8865.3876953125,9167.6953125,7690.09814453125,7923.64453125,7923.64453125,280785390736
2020-03-10,7922.14697265625,8136.9453125,4106.98095703125,5014.47998046875,5014.47998046875,324554254994
2020-03-17,5002.578125,6844.26171875,4981.9091796875,6416.31494140625,6416.31494140625,311031123471
2020-03-24,6436.642578125,6892.51123046875,5903.234375,6429.841796875,6429.841796875,263077982926
2020-03-31,6430.6064453125,7271.78125,6202.37353515625,7271.78125,7271.78125,269363349160
2020-04-07,7273.64404296875,7427.939453125,6668.259765625,6845.03759765625,6845.03759765625,265845674612
2020-04-14,6843.28173828125,7280.52197265625,6555.50439453125,6881.95849609375,6881.95849609375,247200923564
2020-04-21,6879.7841796875,7795.60107421875,6834.4423828125,7795.60107421875,7795.60107421875,246150044642
2020-04-28,7796.97021484375,9440.650390625,7730.806640625,8912.654296875,8912.654296875,337377001795
